doi,journal,publisher,author1,affiliation,title,abstract,topic,Year
10.1371/journal.pone.0086031,PLoS ONE,Public Library of Science,"Quang, Tara","Biological Sciences Department, California State Polytechnic University at Pomona, Pomona, California, United States of America",Dosage and Cell Line Dependent Inhibitory Effect of bFGF Supplement in Human Pluripotent Stem Cell Culture on Inactivated Human Mesenchymal Stem Cells,"Many different culture systems have been developed for expanding human pluripotent stem cells (hESCs and hiPSCs). In general, 4–10 ng/ml of bFGF is supplemented in culture media in feeder-dependent systems regardless of feeder cell types, whereas in feeder-free systems, up to 100 ng/ml of bFGF is required for maintaining long-term culture on various substrates. The amount of bFGF required in native hESCs growth niche is unclear. Here we report using inactivated adipose-derived human mesenchymal stem cells as feeder cells to examine long-term parallel cultures of two hESCs lines (H1 and H9) and one hiPSCs line (DF19-9-7T) in media supplemented with 0, 0.4 or 4 ng/ml of bFGF for up to 23 passages, as well as parallel cultures of H9 and DF19 in media supplemented with 4, 20 or 100 ng/ml bFGF for up to 13 passages for comparison. Across all cell lines tested, bFGF supplement demonstrated inhibitory effect over growth expansion, single cell colonization and recovery from freezing in a dosage dependent manner. In addition, bFGF exerted differential effects on different cell lines, inducing H1 and DF19 differentiation at 4 ng/ml or higher, while permitting long-term culture of H9 at the same concentrations with no apparent dosage effect. Pluripotency was confirmed for all cell lines cultured in 0, 0.4 or 4 ng/ml bFGF excluding H1-4 ng, as well as H9 cultured in 4, 20 and 100 ng/ml bFGF. However, DF19 demonstrated similar karyotypic abnormality in both 0 and 4 ng/ml bFGF media while H1 and H9 were karyotypically normal in 0 ng/ml bFGF after long-term culture. Our results indicate that exogenous bFGF exerts dosage and cell line dependent effect on human pluripotent stem cells cultured on mesenchymal stem cells, and implies optimal use of bFGF in hESCs/hiPSCs culture should be based on specific cell line and its culture system.",NGS,2013
10.1371/journal.pone.0222535,PLOS ONE,Public Library of Science,"Kim, Young-Ho","Research Institute, National Cancer Center, Ilsan-ro, Ilsandong-gu, Goyang-si, Gyeonggi-do, Korea",False-negative errors in next-generation sequencing contribute substantially to inconsistency of mutation databases,"BackgroundMore than 11,000 laboratories and companies developed their own next-generation sequencing (NGS) for screening and diagnosis of various diseases including cancer. Although inconsistencies of mutation calls as high as 43% in databases such as GDSC (Genomics of Drug Sensitivity in Cancer) and CCLE (Cancer Cell Line Encyclopedia) have been reported, not many studies on the reasons for the inconsistencies have been published. Methods: Targeted-NGS analysis of 151 genes in 35 cell lines common to GDSC and CCLE was performed, and the results were compared with those from GDSC and CCLE wherein whole-exome- or highly-multiplex NGS were employed.ResultsIn the comparison, GDSC and CCLE had a high rate (40–45%) of false-negative (FN) errors which would lead to high rate of inconsistent mutation calls, suggesting that highly-multiplex NGS may have high rate of FN errors. We also posited the possibility that targeted NGS, especially for the detection of low-level cancer cells in cancer tissues might suffer significant FN errors.ConclusionFN errors may be the most important errors in NGS testing for cancer; their evaluation in laboratory-developed NGS tests is needed.",NGS,2019
10.1371/journal.pone.0040422,PLoS ONE,Public Library of Science,"Kobayashi, Yuki","Graduate School of Natural Sciences, Nagoya City University, Nagoya City, Aichi, Japan",Compensatory Evolution of Net-Charge in Influenza A Virus Hemagglutinin,"The propagation of influenza A virus depends on the balance between the activities of hemagglutinin (HA) for binding to host cells and neuraminidase (NA) for releasing from infected cells (HA-NA balance). Since the host cell membrane and the sialic acid receptor are negatively charged, the amino acid substitutions increasing (charge+) and decreasing (charge−) the positive charge of HA subunit 1 (HA1) enhance and reduce, respectively, the binding avidity and affinity. The positive charge of HA1 in human influenza A virus bearing subtype H3N2 (A/H3N2 virus) was observed to have increased during evolution, but the evolutionary mechanism for this observation was unclear because this may disrupt the HA-NA balance. Here we show, from the phylogenetic analysis of HA for human A/H3N2 and A/H1N1 viruses, that the relative frequencies of charge+ and charge− substitutions were elevated on the branches where the number of N-glycosylation sites (NGS) increased and decreased, respectively, compared to those where the number of NGS did not change. On the latter branches, the net-charge of HA1 appeared to have been largely maintained to preserve its structure and function. Since the charge+ and charge− substitutions in HA1 have opposite effects to the gain and loss of NGS on the binding and release of the virus, the net-charge of HA1 may have evolved to compensate for the effect of the gain and loss of NGS, probably through changing the avidity. Apparently, the relative frequency of charge− substitutions in HA1 of A/H3N2 virus was elevated after the introduction of oseltamivir, and that of charge+ substitutions in HA1 of A/H1N1 virus was elevated after the spread of oseltamivir resistance. These observations may also be explained by the compensatory effect of the net-charge in HA1 on the NA activity for keeping the HA-NA balance.",NGS,2012
10.1371/journal.pone.0152851,PLOS ONE,Public Library of Science,"Hiemenz, Matthew C.","Center for Personalized Diagnostics, Department of Pathology and Laboratory Medicine, Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States of America",Building a Robust Tumor Profiling Program: Synergy between Next-Generation Sequencing and Targeted Single-Gene Testing,"Next-generation sequencing (NGS) is a powerful platform for identifying cancer mutations. Routine clinical adoption of NGS requires optimized quality control metrics to ensure accurate results. To assess the robustness of our clinical NGS pipeline, we analyzed the results of 304 solid tumor and hematologic malignancy specimens tested simultaneously by NGS and one or more targeted single-gene tests (EGFR, KRAS, BRAF, NPM1, FLT3, and JAK2). For samples that passed our validated tumor percentage and DNA quality and quantity thresholds, there was perfect concordance between NGS and targeted single-gene tests with the exception of two FLT3 internal tandem duplications that fell below the stringent pre-established reporting threshold but were readily detected by manual inspection. In addition, NGS identified clinically significant mutations not covered by single-gene tests. These findings confirm NGS as a reliable platform for routine clinical use when appropriate quality control metrics, such as tumor percentage and DNA quality cutoffs, are in place. Based on our findings, we suggest a simple workflow that should facilitate adoption of clinical oncologic NGS services at other institutions.",NGS,2016
10.1371/journal.pone.0096186,PLoS ONE,Public Library of Science,"Li, Cong","Key Laboratory of Animal Genetics and Breeding of Ministry of Agriculture, National Engineering Laboratory of Animal Breeding, College of Animal Science and Technology, China Agricultural University, Beijing, China",Genome Wide Association Study Identifies 20 Novel Promising Genes Associated with Milk Fatty Acid Traits in Chinese Holstein,"Detecting genes associated with milk fat composition could provide valuable insights into the complex genetic networks of genes underling variation in fatty acids synthesis and point towards opportunities for changing milk fat composition via selective breeding. In this study, we conducted a genome-wide association study (GWAS) for 22 milk fatty acids in 784 Chinese Holstein cows with the PLINK software. Genotypes were obtained with the Illumina BovineSNP50 Bead chip and a total of 40,604 informative, high-quality single nucleotide polymorphisms (SNPs) were used. Totally, 83 genome-wide significant SNPs and 314 suggestive significant SNPs associated with 18 milk fatty acid traits were detected. Chromosome regions that affect milk fatty acid traits were mainly observed on BTA1, 2, 5, 6, 7, 9, 13, 14, 18, 19, 20, 21, 23, 26 and 27. Of these, 146 SNPs were associated with more than one milk fatty acid trait; most of studied fatty acid traits were significant associated with multiple SNPs, especially C18:0 (105 SNPs), C18 index (93 SNPs), and C14 index (84 SNPs); Several SNPs are close to or within the DGAT1, SCD1 and FASN genes which are well-known to affect milk composition traits of dairy cattle. Combined with the previously reported QTL regions and the biological functions of the genes, 20 novel promising candidates for C10:0, C12:0, C14:0, C14:1, C14 index, C18:0, C18:1n9c, C18 index, SFA, UFA and SFA/UFA were found, which composed of HTR1B, CPM, PRKG1, MINPP1, LIPJ, LIPK, EHHADH, MOGAT1, ECHS1, STAT1, SORBS1, NFKB2, AGPAT3, CHUK, OSBPL8, PRLR, IGF1R, ACSL3, GHR and OXCT1. Our findings provide a groundwork for unraveling the key genes and causal mutations affecting milk fatty acid traits in dairy cattle.",NGS,2014
10.1371/journal.ppat.1007080,PLOS Pathogens,Public Library of Science,"Ragland, Stephanie A.","Department of Microbiology, Immunology, and Cancer Biology, University of Virginia, Charlottesville, Virginia, United States of America",Neisseria gonorrhoeae employs two protein inhibitors to evade killing by human lysozyme,"The bacterial pathogen Neisseria gonorrhoeae (Gc) infects mucosal sites rich in antimicrobial proteins, including the bacterial cell wall-degrading enzyme lysozyme. Certain Gram-negative bacteria produce protein inhibitors that bind to and inhibit lysozyme. Here, we identify Ng_1063 as a new inhibitor of lysozyme in Gc, and we define its functions in light of a second, recently identified lysozyme inhibitor, Ng_1981. In silico analyses indicated that Ng_1063 bears sequence and structural homology to MliC-type inhibitors of lysozyme. Recombinant Ng_1063 inhibited lysozyme-mediated killing of a susceptible mutant of Gc and the lysozyme-sensitive bacterium Micrococcus luteus. This inhibitory activity was dependent on serine 83 and lysine 103 of Ng_1063, which are predicted to interact with lysozyme’s active site residues. Lysozyme co-immunoprecipitated with Ng_1063 and Ng_1981 from intact Gc. Ng_1063 and Ng_1981 protein levels were also increased in Gc exposed to lysozyme. Gc lacking both ng1063 and ng1981 was significantly more sensitive to killing by lysozyme than wild-type or single mutant bacteria. When exposed to human tears or saliva, in which lysozyme is abundant, survival of Δ1981Δ1063 Gc was significantly reduced compared to wild-type, and survival was restored upon addition of recombinant Ng_1981. Δ1981Δ1063 mutant Gc survival was additionally reduced in the presence of human neutrophils, which produce lysozyme. We found that while Ng_1063 was exposed on the surface of Gc, Ng_1981 was both in an intracellular pool and extracellularly released from the bacteria, suggesting that Gc employs these two proteins at multiple spatial barriers to fully neutralize lysozyme activity. Together, these findings identify Ng_1063 and Ng_1981 as critical components for Gc defense against lysozyme. These proteins may be attractive targets for antimicrobial therapy aimed to render Gc susceptible to host defenses and/or for vaccine development, both of which are urgently needed against drug-resistant gonorrhea.",NGS,2018
10.1371/journal.ppat.1007080,PLOS Pathogens,Public Library of Science,"Ragland, Stephanie A.","Department of Microbiology, Immunology, and Cancer Biology, University of Virginia, Charlottesville, Virginia, United States of America",Neisseria gonorrhoeae employs two protein inhibitors to evade killing by human lysozyme,"Author summaryThe mucosal pathogen Neisseria gonorrhoeae has acquired resistance to almost all recommended antibiotics, and no gonorrhea vaccine currently exists. Attractive targets for therapeutic discovery include bacterial factors that, when inactivated, enhance bacterial susceptibility to host-derived antimicrobial components. The bacterial cell wall-degrading enzyme lysozyme is abundant in mucosal secretions and innate immune cells. To resist killing by lysozyme, some bacteria produce proteins that bind to and directly inhibit the activity of lysozyme. Here, we demonstrate lysozyme inhibitory activity in the N. gonorrhoeae protein Ng_1063. We found that both Ng_1063 and a second, recently described lysozyme inhibitor, Ng_1981, contribute to full resistance of N. gonorrhoeae to lysozyme, including resistance to lysozyme-rich mucosal secretions and human neutrophils. Although Ng_1063 and Ng_1981 are both inhibitors of lysozyme, they are distinct in their sequences, biological activities, and cellular localizations. Because both Ng_1063 and Ng_1981 are extracellular, we propose they can be targeted for vaccines and drugs that sensitize Gc to human antimicrobial defenses.",NGS,2018
10.1371/journal.pone.0102329,PLoS ONE,Public Library of Science,"Coll Ferrer, M. Carme","Department of Anesthesiology and Critical Care, University of Pennsylvania, Philadelphia, Pennsylvania, United States of America",ICAM-1 Targeted Nanogels Loaded with Dexamethasone Alleviate Pulmonary Inflammation,"Lysozyme dextran nanogels (NG) have great potential in vitro as a drug delivery platform, combining simple chemistry with rapid uptake and cargo release in target cells with “stealth” properties and low toxicity. In this work, we study for the first time the potential of targeted NG as a drug delivery platform in vivo to alleviate acute pulmonary inflammation in animal model of LPS-induced lung injury. NG are targeted to the endothelium via conjugation with an antibody (Ab) directed to Intercellular Adhesion Molecule-1(ICAM-NG), whereas IgG conjugated NG (IgG-NG) are used for control formulations. The amount of Ab conjugated to the NG and distribution in the body after intravenous (IV) injection have been quantitatively analyzed using a tracer isotope-labeled [125I]IgG. As a proof of concept, Ab-NG are loaded with dexamethasone, an anti-inflammatory therapeutic, and the drug uptake and release kinetics are measured by HPLC. In vivo studies in mice showed that: i) ICAM-NG accumulates in mouse lungs (∼120% ID/g vs ∼15% ID/g of IgG-NG); and, ii) DEX encapsulated in ICAM-NG, but not in IgG-NG practically blocks LPS-induced overexpression of pro-inflammatory cell adhesion molecules including ICAM-1 in the pulmonary inflammation.",NGS,2014
10.1371/journal.pone.0089658,PLoS ONE,Public Library of Science,"Han, Yan","National Center for STD Control, China Chinese CDC, and Institute of Dermatology, Chinese Academy of Medical Sciences and Peking Union Medical College, Nanjing, China",Evaluation of Abbott RealTime CT/NG Assay for Detection of Chlamydia trachomatis and Neisseria gonorrhoeae in Cervical Swabs from Female Sex Workers in China,"BackgroundTo evaluate the performance of the Abbott RealTime CT/NG assay for detection of Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) among female sex workers (FSWs) in China.MethodsCervical swabs from 997 participants were blindly detected by the Abbott RealTime CT/NG assay on the automated m2000 molecular platform and Roche Cobas Amplicor CT/NG assay. Discrepant analysis were confirmed by the Qiagen care CT PCR assay. The sample was defined as candidate nvCT-positive if it was CT positive in the Abbott m2000 assay, but CT negative in the other two assays.Results25 specimens that were discordant for CT and 26 specimens that were discordant for NG between the two assays were resolved by Qiagen care CT & NG PCR assays. The sensitivity and specificity, respectively, for Abbott m2000 assay were 92.59% and 100% for CT and 95.45% and 99.90% for NG. The positive predictive value (PPV) and negative predictive value (NPV) of Abbott m2000 assay were100% and 98.52% for CT and 95.5% and 99.90% for NG, respectively. No candidate new-variant CT(nvCT)specimens were identified.ConclusionAbbott RealTime CT/NG assay were more specify for CT and NG detection, however, its sensitivity for CT and NG were a little bit lower than Roche Cobas Amplicor CT/NG assay. Abbott RealTime CT/NG assay had higher PPV for NG detection than Roche Cobas Amplicor CT/NG assay; it would be more suitable for screening for population with low-prevalence NG. There is currently no evidence that nvCT is present in FSWs in China.",NGS,2014
10.1371/journal.pone.0045195,NA,Public Library of Science,"Djafarzadeh, Siamak","Department of Intensive Care Medicine, Inselspital, Bern University Hospital and University of Bern, Bern, Switzerland",Effect of Remifentanil on Mitochondrial Oxygen Consumption of Cultured Human Hepatocytes,"During sepsis, liver dysfunction is common, and failure of mitochondria to effectively couple oxygen consumption with energy production has been described. In addition to sepsis, pharmacological agents used to treat septic patients may contribute to mitochondrial dysfunction. This study addressed the hypothesis that remifentanil interacts with hepatic mitochondrial oxygen consumption. The human hepatoma cell line HepG2 and their isolated mitochondria were exposed to remifentanil, with or without further exposure to tumor necrosis factor-α (TNF-α). Mitochondrial oxygen consumption was measured by high-resolution respirometry, Caspase-3 protein levels by Western blotting, and cytokine levels by ELISA. Inhibitory κBα (IκBα) phosphorylation, measurement of the cellular ATP content and mitochondrial membrane potential in intact cells were analysed using commercial ELISA kits. Maximal cellular respiration increased after one hour of incubation with remifentanil, and phosphorylation of IκBα occurred, denoting stimulation of nuclear factor κB (NF-κB). The effect on cellular respiration was not present at 2, 4, 8 or 16 hours of incubation. Remifentanil increased the isolated mitochondrial respiratory control ratio of complex-I-dependent respiration without interfering with maximal respiration. Preincubation with the opioid receptor antagonist naloxone prevented a remifentanil-induced increase in cellular respiration. Remifentanil at 10× higher concentrations than therapeutic reduced mitochondrial membrane potential and ATP content without uncoupling oxygen consumption and basal respiration levels. TNF-α exposure reduced respiration of complex-I, -II and -IV, an effect which was prevented by prior remifentanil incubation. Furthermore, prior remifentanil incubation prevented TNF-α-induced IL-6 release of HepG2 cells, and attenuated fragmentation of pro-caspase-3 into cleaved active caspase 3 (an early marker of apoptosis). Our data suggest that remifentanil increases cellular respiration of human hepatocytes and prevents TNF-α-induced mitochondrial dysfunction. The results were not explained by uncoupling of mitochondrial respiration.",NGS,2012
