doi,journal,publisher,author1,affiliation,title,abstract,topic,Year
10.1371/journal.pone.0100194,PLoS ONE,Public Library of Science,"Guerrero-Bosagna, Carlos","Center for Reproductive Biology, School of Biological Sciences, Washington State University, Pullman, Washington, United States of America",Identification of Genomic Features in Environmentally Induced Epigenetic Transgenerational Inherited Sperm Epimutations,"A variety of environmental toxicants have been shown to induce the epigenetic transgenerational inheritance of disease and phenotypic variation. The process involves exposure of a gestating female and the developing fetus to environmental factors that promote permanent alterations in the epigenetic programming of the germline. The molecular aspects of the phenomenon involve epigenetic modifications (epimutations) in the germline (e.g. sperm) that are transmitted to subsequent generations. The current study integrates previously described experimental epigenomic transgenerational data and web-based bioinformatic analyses to identify genomic features associated with these transgenerationally transmitted epimutations. A previously identified genomic feature associated with these epimutations is a low CpG density (<12/100bp). The current observations suggest the transgenerational differential DNA methylation regions (DMR) in sperm contain unique consensus DNA sequence motifs, zinc finger motifs and G-quadruplex sequences. Interaction of molecular factors with these sequences could alter chromatin structure and accessibility of proteins with DNA methyltransferases to alter de novo DNA methylation patterns. G-quadruplex regions can promote the opening of the chromatin that may influence the action of DNA methyltransferases, or factors interacting with them, for the establishment of epigenetic marks. Zinc finger binding factors can also promote this chromatin remodeling and influence the expression of non-coding RNA. The current study identified genomic features associated with sperm epimutations that may explain in part how these sites become susceptible for transgenerational programming.",epigenetics bioinformatics,2014
10.1371/journal.pone.0170085,PLOS ONE,Public Library of Science,"Shnorhavorian, Margarett","Seattle Children's Research Institute, Seattle, Washington, United States of America",Differential DNA Methylation Regions in Adult Human Sperm following Adolescent Chemotherapy: Potential for Epigenetic Inheritance,"BackgroundThe potential that adolescent chemotherapy can impact the epigenetic programming of the germ line to influence later life adult fertility and promote epigenetic inheritance was investigated. Previous studies have demonstrated a number of environmental exposures such as abnormal nutrition and toxicants can promote sperm epigenetic changes that impact offspring.MethodsAdult males approximately ten years after pubertal exposure to chemotherapy were compared to adult males with no previous exposure. Sperm were collected to examine differential DNA methylation regions (DMRs) between the exposed and control populations. Gene associations and correlations to genetic mutations (copy number variation) were also investigated.Methods and FindingsA signature of statistically significant DMRs was identified in the chemotherapy exposed male sperm. The DMRs, termed epimutations, were found in CpG desert regions of primarily 1 kilobase size. Observations indicate adolescent chemotherapy exposure can promote epigenetic alterations that persist in later life.ConclusionsThis is the first observation in humans that an early life chemical exposure can permanently reprogram the spermatogenic stem cell epigenome. The germline (i.e., sperm) epimutations identified suggest chemotherapy has the potential to promote epigenetic inheritance to the next generation.",epigenetics bioinformatics,2016
10.1371/journal.pgen.1006105,PLOS Genetics,Public Library of Science,"Birney, Ewan","European Bioinformatics Institute (EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, United Kingdom",Epigenome-wide Association Studies and the Interpretation of Disease -Omics,"Epigenome-wide association studies represent one means of applying genome-wide assays to identify molecular events that could be associated with human phenotypes. The epigenome is especially intriguing as a target for study, as epigenetic regulatory processes are, by definition, heritable from parent to daughter cells and are found to have transcriptional regulatory properties. As such, the epigenome is an attractive candidate for mediating long-term responses to cellular stimuli, such as environmental effects modifying disease risk. Such epigenomic studies represent a broader category of disease -omics, which suffer from multiple problems in design and execution that severely limit their interpretability. Here we define many of the problems with current epigenomic studies and propose solutions that can be applied to allow this and other disease -omics studies to achieve their potential for generating valuable insights.",epigenetics bioinformatics,NA
10.1371/journal.pone.0170779,PLOS ONE,Public Library of Science,"Lin, I-Hsuan","VYM Genome Research Center, National Yang-Ming University, Taipei, Taiwan",Correlated 5-Hydroxymethylcytosine (5hmC) and Gene Expression Profiles Underpin Gene and Organ-Specific Epigenetic Regulation in Adult Mouse Brain and Liver,"BackgroundDNA methylation is an epigenetic mechanism essential for gene regulation and vital for mammalian development. 5-hydroxymethylcytosine (5hmC) is the first oxidative product of the TET-mediated 5-methylcytosine (5mC) demethylation pathway. Aside from being a key intermediate in cytosine demethylation, 5hmC may have potential regulatory functions with emerging importance in mammalian biology.MethodsHere, we investigate the global 5hmC enrichment in five brain structures, including cerebellum, cerebral cortex, hippocampus, hypothalamus and thalamus, as well as liver tissues from female and male adult mice by using chemical capture-based technique coupled with next-generation sequencing. At the same time, we carried out total RNA sequencing (RNA-seq) to analyze the transcriptomes of brain regions and liver tissues.ResultsOur results reveal preferential 5hmC enrichment in the gene bodies of expressed genes, and 5hmC levels of many protein-coding genes are positively correlated with RNA expression intensity. However, more than 75% of genes with low or no 5hmC enrichment are genes encode for mitochondrial proteins and ribosomal proteins despite being actively transcribed, implying different transcriptional regulation mechanisms of these housekeeping genes. Brain regions developed from the same embryonic structures have more similar 5hmC profiles. Also, the genic 5hmC enrichment pattern is highly tissue-specific, and 5hmC marks genes involving in tissue-specific biological processes. Sex chromosomes are mostly depleted of 5hmC, and the X inactive specific transcript (Xist) gene located on the X chromosome is the only gene to show sex-specific 5hmC enrichment.ConclusionsThis is the first report of the whole-genome 5hmC methylome of five major brain structures and liver tissues in mice of both sexes. This study offers a comprehensive resource for future work of mammalian cytosine methylation dynamics. Our findings offer additional evidence that suggests 5hmC is an active epigenetic mark stably maintained after the global reprogramming event during early embryonic development.",epigenetics bioinformatics,2017
10.1371/journal.pcbi.1005559,PLOS Computational Biology,Public Library of Science,"Fogg, Christiana N.","Freelance Science Writer, Kensington, Maryland, United States of America",2017 ISCB Overton Prize awarded to Christoph Bock,NA,epigenetics bioinformatics,NA
10.1371/journal.pone.0115842,PLoS ONE,Public Library of Science,"Stathias, Vasileios","Department of Human Genetics & Genomics, University of Miami Miller School of Medicine, Miami, Florida, 33136, United States of America",Identifying Glioblastoma Gene Networks Based on Hypergeometric Test Analysis,"Patient specific therapy is emerging as an important possibility for many cancer patients. However, to identify such therapies it is essential to determine the genomic and transcriptional alterations present in one tumor relative to control samples. This presents a challenge since use of a single sample precludes many standard statistical analysis techniques. We reasoned that one means of addressing this issue is by comparing transcriptional changes in one tumor with those observed in a large cohort of patients analyzed by The Cancer Genome Atlas (TCGA). To test this directly, we devised a bioinformatics pipeline to identify differentially expressed genes in tumors resected from patients suffering from the most common malignant adult brain tumor, glioblastoma (GBM). We performed RNA sequencing on tumors from individual GBM patients and filtered the results through the TCGA database in order to identify possible gene networks that are overrepresented in GBM samples relative to controls. Importantly, we demonstrate that hypergeometric-based analysis of gene pairs identifies gene networks that validate experimentally. These studies identify a putative workflow for uncovering differentially expressed patient specific genes and gene networks for GBM and other cancers.",epigenetics bioinformatics,2014
10.1371/journal.pone.0072670,PLoS ONE,Public Library of Science,"Colaneri, Alejandro","Laboratory of Neurobiology, National Institute of Environmental Health Sciences, Research Triangle Park, North Carolina, United States of America",A Minimal Set of Tissue-Specific Hypomethylated CpGs Constitute Epigenetic Signatures of Developmental Programming,"BackgroundCell specific states of the chromatin are programmed during mammalian development. Dynamic DNA methylation across the developing embryo guides a program of repression, switching off genes in most cell types. Thus, the majority of the tissue specific differentially methylated sites (TS-DMS) must be un-methylated CpGs.Methodology and Principal FindingsComparison of expanded Methyl Sensitive Cut Counting data (eMSCC) among four tissues (liver, testes, brain and kidney) from three C57BL/6J mice, identified 138,052 differentially methylated sites of which 23,270 contain CpGs un-methylated in only one tissue (TS-DMS). Most of these CpGs were located in intergenic regions, outside of promoters, CpG islands or their shores, and up to 20% of them overlapped reported active enhancers. Indeed, tissue-specific enhancers were up to 30 fold enriched in TS-DMS. Testis showed the highest number of TS-DMS, but paradoxically their associated genes do not appear to be specific to the germ cell functions, but rather are involved in organism development. In the other tissues the differentially methylated genes are associated with tissue-specific physiological or anatomical functions. The identified sets of TS-DMS quantify epigenetic distances between tissues, generated during development. We applied this concept to measure the extent of reprogramming in the liver of mice exposed to in utero or early postnatal nutritional stress. Different protocols of food restriction reprogrammed the liver methylome in different but reproducible ways.Conclusion and SignificanceThus, each identified set of differentially methylated sites constituted an epigenetic signature that traced the developmental programing or the early nutritional reprogramming of each exposed mouse. We propose that our approach has the potential to outline a number of disease-associated epigenetic states. The composition of differentially methylated CpGs may vary with each situation, behaving as a composite variable, which can be used as a pre-symptomatic marker for disease.",epigenetics bioinformatics,2013
10.1371/journal.pone.0039014,PLoS ONE,Public Library of Science,"Eckmann-Scholz, Christel","Department of Gynecology & Obstetrics, Christian-Albrechts-University Kiel & University Hospital Schleswig-Holstein, Kiel, Germany",DNA-Methylation Profiling of Fetal Tissues Reveals Marked Epigenetic Differences between Chorionic and Amniotic Samples,"Epigenetic mechanisms including DNA methylation are supposed to play a key role in fetal development. Here we have investigated fetal DNA-methylation levels of 27,578 CpG loci in 47 chorionic villi (CVS) and 16 amniotic cell (AC) samples. Methylation levels differed significantly between karyotypically normal AC and CVS for 2,014 genes. AC showed more extreme DNA-methylation levels of these genes than CVS and the differentially methylated genes are significantly enriched for processes characteristic for the different cell types sampled. Furthermore, we identified 404 genes differentially methylated in CVS with trisomy 21. These genes were significantly enriched for high CG dinucleotid (CpG) content and developmental processes associated with Down syndrome. Our study points to major tissue-specific differences of fetal DNA-methylation and gives rise to the hypothesis that part of the Down syndrome phenotype is epigenetically programmed in the first trimester of pregnancy.",epigenetics bioinformatics,2012
10.1371/journal.pone.0202662,PLOS ONE,Public Library of Science,"Nilsson, Eric","Center for Reproductive Biology, School of Biological Sciences, Washington State University, Pullman, WA, United States of America",Vinclozolin induced epigenetic transgenerational inheritance of pathologies and sperm epimutation biomarkers for specific diseases,"Exposure to vinclozolin has been shown to induce the epigenetic transgenerational inheritance of increased susceptibility to disease, and to induce transgenerational changes to the epigenome. In the current study, gestating F0 generation rats were exposed to vinclozolin, and the subsequent F1, F2 and transgenerational F3 generations were evaluated for diseases and pathologies. F1 and F2 generation rats exhibited few abnormalities. However, F3 generation rats showed transgenerational increases in testis, prostate, and kidney disease, changes in the age of puberty onset in males, and an increased obesity rate in females. Overall there was an increase in the rate of animals with disease, and in the incidence of animals with multiple diseases. The objective of the current study was to analyze the sperm epigenome of F3 generation rats with specific abnormalities and compare them to rats without those abnormalities, in an effort to find epigenetic biomarkers of transgenerational disease. Unique signatures of differential DNA methylation regions (DMRs) in sperm were found that associated with testis disease, prostate disease and kidney disease. Confounding factors identified were the presence of multiple diseases in the analysis and the limited number of animals without disease. These results further our understanding of the mechanisms governing epigenetic transgenerational inheritance, and may lead in the future to the use of epigenetic biomarkers that will help predict an individual’s susceptibility for specific diseases.",epigenetics bioinformatics,2018
10.1371/journal.pgen.1008181,PLOS Genetics,Public Library of Science,"Perez, Shira","Molecular Virology Lab, Azrieli Faculty of Medicine in the Galilee, Bar-Ilan University, Safed, Israel",Hepatitis C virus leaves an epigenetic signature post cure of infection by direct-acting antivirals,"The increasing worldwide prevalence of Hepatocellular carcinoma (HCC), characterized by resistance to conventional chemotherapy, poor prognosis and eventually mortality, place it as a prime target for new modes of prevention and treatment. Hepatitis C Virus (HCV) is the predominant risk factor for HCC in the US and Europe. Multiple epidemiological studies showed that sustained virological responses (SVR) following treatment with the powerful direct acting antivirals (DAAs), which have replaced interferon-based regimes, do not eliminate tumor development. We aimed to identify an HCV-specific pathogenic mechanism that persists post SVR following DAAs treatment. We demonstrate that HCV infection induces genome-wide epigenetic changes by performing chromatin immunoprecipitation followed by next-generation sequencing (ChIP-seq) for histone post-translational modifications that are epigenetic markers for active and repressed chromatin. The changes in histone modifications correlate with reprogramed host gene expression and alter signaling pathways known to be associated with HCV life cycle and HCC. These epigenetic alterations require the presence of HCV RNA or/and expression of the viral proteins in the cells. Importantly, the epigenetic changes induced following infection persist as an ""epigenetic signature"" after virus eradication by DAAs treatment, as detected using in vitro HCV infection models. These observations led to the identification of an 8 gene signature that is associated with HCC development and demonstrate persistent epigenetic alterations in HCV infected and post SVR liver biopsy samples. The epigenetic signature was reverted in vitro by drugs that inhibit epigenetic modifying enzyme and by the EGFR inhibitor, Erlotinib. This epigenetic “scarring” of the genome, persisting following HCV eradication, suggest a novel mechanism for the persistent pathogenesis of HCV after its eradication by DAAs. Our study offers new avenues for prevention of the persistent oncogenic effects of chronic hepatitis infections using specific drugs to revert the epigenetic changes to the genome.",epigenetics bioinformatics,2019
