,affiliation,lat,long
0,"Genetics & Metabolism Division, Pediatrics Department and Center for Mitochondrial and Molecular Medicine and Genetics (MAMMAG), University of California Irvine, Irvine, California, United States of America",33.6404952,-117.8442962
1,"National HIV and Retrovirology Laboratories, National Microbiology Laboratory, Public Health Agency of Canada, Ottawa, Canada",45.4215296,-75.6971931
2,"Department of Neurology, College of Medicine, and the McKnight Brain Institute, University of Florida, Gainesville, Florida, United States of America",29.6419104,-82.3432393
3,"INSERM U966, UniversitÈ FranÁois Rabelais and CHRU de Tours, Tours, France",47.3838055,0.6738728
4,"Department of Microbiology, University of Washington, Seattle, WA, 98195, United States of America",47.6504792,-122.3091843
5,"Department of Biochemistry and Molecular Biology, School of Medicine, University of Louisville, Louisville, Kentucky, United States of America",38.2122761,-85.7585023
6,"Swiss Centre for Applied Ecotoxicology (Ecotox Centre), Eawag/EPFL, 1015, Lausanne, Switzerland",47.4038135,8.6097632
7,"AIT Austrian Institute of Technology, Health and Environment Department, Molecular Diagnostics, Vienna, Austria",48.2691806,16.4267426
8,"Laboratorio de Dianas TerapÈuticas, Hospital Universitario Sanchinarro, Madrid, Spain",40.4902201,-3.6667732
9,"Biodiversity Institute of Ontario, Department of Integrative Biology, University of Guelph, Guelph, Ontario, Canada",43.5327217,-80.2261804
10,"Dipartimento di Ematologia e Scienze Oncologiche ìL e A Seragnoliî, Sezione di Anatomia Istologia e Citologia Patologica ""M. Malpighi"" Universit‡ di Bologna-AUSL Ospedale Bellaria, Bologna, Italy",44.463982,11.390462
11,"European Molecular Biology Laboratory, Heidelberg, Germany",49.38406,8.710757
12,"Department of Anatomy, University of Otago, Dunedin, New Zealand",-45.8691834,170.5077011
13,"CNRS, UMR 5234, Bordeaux, France",44.8276813,-0.6070646
14,"Department of Medicine (DIMES) ñ Anatomic Pathology Unit, Bellaria Hospital, University of Bologna, Bologna, Italy",44.4962318,11.354157
15,"Department of Surgery, University of California Los Angeles, Los Angeles, California, United States of America",34.0653483,-118.4465531
16,"Laboratoire de Virologie, CHU de Bordeaux et CNRS UMR 5234, Bordeaux, France",44.8300889,-0.6072228
17,"Department of Medical Microbiology, Leiden University Medical Center, Leiden, The Netherlands",52.1677096,4.4774736
18,"Merck Research Laboratories, Molecular Biomarkers and Diagnostics, Rahway, New Jersey, United States of America",40.6081591,-74.2776468
19,"Pangaea Biotech SL, Barcelona, Spain",41.3849954,2.125658
20,"Department of Medicine (DIMES) ñ Anatomic Pathology Unit, Bellaria Hospital, University of Bologna, Bologna, Italy",44.4962318,11.354157
21,"Division of Pulmonary and Critical Care Medicine and of Genetics, Brigham and Womenís Hospital, Harvard Medical School, Boston, Massachusetts, United States of America",42.3360139,-71.1069841
22,"Division of Pulmonary and Critical Care Medicine and of Genetics, Brigham and Womenís Hospital, Harvard Medical School, Boston, Massachusetts, United States of America",42.3360139,-71.1069841
23,"Division of Periodontology, College of Dentistry, The Ohio State University, Columbus, Ohio, United States of America",39.996129,-83.016507
24,"Institut National de la Transfusion Sanguine (INTS), DÈpartement DíÈtudes des Agents Transmissibles par le Sang, Centre National de RÈfÈrence Risques Infectieux Transfusionnels, Paris, France",48.856614,2.3522219
25,"Department of Human Genetics, Emory University School of Medicine, Atlanta, Georgia, United States of America",33.792823,-84.3194545
26,"Environmental Services, SpecPro Inc., Vicksburg, Mississippi, United States of America",32.3526456,-90.877882
27,"Division of Infectious Diseases and International Health, Department of Medicine, University of Virginia, Charlottesville, VA, United States of America",38.0313644,-78.4991115
28,"Wellcome Trust Centre for Human Genetics, Oxford, United Kingdom",51.7520693,-1.2150543
29,"Institut de Recherche pour le DÈveloppement, UniversitÈ de Montpellier, UnitÈ Mixte de Recherche DiversitÈ Adaptation et DÈveloppement des Plantes (UMR DIADE), Montpellier, France",43.6316206,3.8634485
30,"Division of Genetic Epidemiology, Medical University of Innsbruck, Innsbruck, Austria",47.2630362,11.3844528
31,"Center for Molecular Biology, Department of Biological and Environmental Sciences, Alabama Agricultural & Mechanical University, Normal, Alabama, United States of America",34.7838409,-86.5722237
32,"Department of Preventive Medicine, Shantou University Medical College, Shantou, Guangdong, China",23.3556689,116.6958408
33,"DOE Joint Genome Institute, Walnut Creek, California, United States of America",37.9313884,-122.0217454
34,"Department of Clinical Microbiology, Hospital Clinic, Universidad de Barcelona, Institute for Global Health, (ISGlobal), Barcelona, Spain",41.3901037,2.1532729
35,"Department of Molecular Biology and Genetics, Cornell University, Ithaca, New York, United States of America",42.4464096,-76.4782923
36,"Department of Molecular Biology and Genetics, Cornell University, Ithaca, New York, United States of America",42.4464096,-76.4782923
37,"Institute of Mathematics and Informatics, Vilnius University, Vilnius, Lithuania",54.6825757,25.2876469
38,"Department of Biology, University of New Mexico, Albuquerque, New Mexico, United States of America",35.0843187,-106.6197812
39,"Department of Otorhinolaryngology, Shinshu University School of Medicine, Asahi, Matsumoto, Japan",36.2500026,137.9788675
40,"Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden",59.3481484,18.0236579
41,"BGI-Shenzhen, Shenzhen, China",22.543096,114.057865
42,"Dept. of Bioengineering, Stanford University, Stanford, California, United States of America",37.4290519,-122.1751598
43,"Hawai'i Institute of Marine Biology, University of Hawai'i at Manoa, Kane'ohe, Hawai'i, United States of America",21.4325581,-157.7880442
44,"David H. Koch Center, The University of Texas M. D. Anderson Cancer Center, Houston, Texas, United States of America",29.7065843,-95.3970632
45,"School of Veterinary and Life Sciences, Murdoch University, Murdoch, Perth, Western Australia",-32.0672306,115.8367415
46,"Department of Research and Development, Ambry Genetics, Aliso Viejo, California, United States of America",33.593735,-117.727066
47,"Division of Oncology and Pathology, Department of Clinical Sciences, Lund University, Lund, Sweden",55.7119483,13.203493
48,"Department of Computational Biology, Graduate School of Frontier Sciences, The University of Tokyo, Kashiwa, Japan",35.9014324,139.936019
49,"Department of Medical Microbiology and Immunology, University of California Davis, Davis, California, United States of America",38.5339518,-121.7647823
50,"Service díHÈmatologie Biologique, PÙle Biologie, CHU de Dijon, Dijon, France",47.3221255,5.0657182
51,"CeBiTec & Department of Biology, University of Bielefeld, Bielefeld, Germany",52.0367238,8.4952413
52,"Translational Genetics Team, The Cyprus Institute of Neurology & Genetics, Nicosia, Cyprus",35.1682712,33.3144124
53,"Department of Clinical Medicine, University of Bergen, Bergen, Norway",60.3878586,5.3217549
54,"Department of Human Genetics, University of Wuerzburg, Wuerzburg, Germany",49.7799773,9.9716799
55,"Department of Energy Joint Genome Institute, Walnut Creek, California, United States of America",37.9313884,-122.0217454
56,"National Heart and Lung Institute, Imperial College, London, United Kingdom",51.4900888,-0.1720043
57,"College of Medicine and Forensics, Xiían Jiaotong University, Xiían, Shaanxi, China",31.0252201,121.4337784
58,"Department of Gastroenterology and Nephrology, Chiba University, Graduate School of Medicine, Chiba, Japan",35.6278093,140.1035063
59,"Department of Molecular Biomedical Sciences, College of Veterinary Medicine, North Carolina State University, Raleigh, North Carolina, United States of America",35.7986084,-78.7040859
60,"School of Applied Biosciences, Kyungpook National University, Daegu, Republic of Korea",35.888836,128.6102997
61,"ZBIT- Center for Bioinformatics T¸bingen, University of T¸bingen, T¸bingen, Germany",49.9667396,7.904596
62,"Department of Otorhinolaryngology, Seoul National University Bundang Hospital, Seongnam, Korea",37.3504033,127.1244617
63,"Institute of Hematology and Blood Transfusion, Prague, Czech Republic",50.0738379,14.421117
64,"Department of Thoracic and Visceral Organ Surgery, Gunma University Graduate School of Medicine, Maebashi, Gunma, Japan",36.43098,139.0444672
65,"Department of Psychiatry, Chang Gung Memorial Hospital-Linkou, Taoyuan, Taiwan",25.061085,121.367572
66,"Tropical Biodiversity section, Science Museum of Trento, Trento, Italy",46.0626048,11.1145374
67,"Department of Ophthalmology, Scheie Eye Institute, University of Pennsylvania Perelman School of Medicine, Philadelphia, Pennsylvania, United States of America",39.9476279,-75.192598
68,"Oncology Section, Second Department of Internal Medicine, ìHippokrationî Hospital, Athens, Greece",37.9838096,23.7275388
69,"Division of Clinical Microbiology, Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, Minnesota, United States of America",46.729553,-94.6858998
70,"Department of Laboratory Services, Norwegian Veterinary Institute, Oslo, Norway",59.9138688,10.7522454
71,"Department of Surgical Sciences, Uppsala University, SE-75185, Uppsala, Sweden",59.8509005,17.6300093
72,"University College Dublin, Dublin, Ireland",53.3082312,-6.224133
73,"Bioengineering Department, The University of Texas at Dallas, 800 West Campbell Road, Richardson, Texas 75080, United States of America",32.9857619,-96.7500993
74,"Smurfit Institute of Genetics, Trinity College, Dublin, Ireland",53.342374,-6.251341
75,"Department of Dermatology, Heidelberg University Hospital, Heidelberg, Germany",49.4199479,8.6675653
76,"Laboratory of Genomic function Engineering, Department of Life Sciences, School of Agriculture, Meiji University, Kawasaki, Japan",35.6972422,139.7615346
77,"Department of Molecular and Human Genetics, Human Genome Sequencing Center, Baylor College of Medicine, Houston, Texas, United States of America",29.710529,-95.396241
78,"Department German Center for Marine Biodiversity Research, Senckenberg am Meer, Wilhelmshaven, Germany",53.5093906,8.1212395
79,"Molecular Pathology Programme, Centre for Cancer Research and Cell Biology, Queen's University Belfast, Belfast, United Kingdom",54.5859972,-5.9441595
80,"Biodiversity Institute of Ontario, Department of Integrative Biology, University of Guelph, Guelph, Ontario, Canada",43.5327217,-80.2261804
81,"Department of Civil, Environmental, and Architectural Engineering, University of Colorado Boulder, Boulder, CO, 80309, United States of America",40.0071347,-105.2627548
82,"Biomolecular Screening Branch, Division National Toxicology Program, National Institute of Environmental Health Sciences, Research Triangle Park, North Carolina, United States of America",35.8835576,-78.8831335
83,"Centre for Reproduction and Genomics, Department of Anatomy, University of Otago, Dunedin, New Zealand",-45.8691834,170.5077011
84,"Research Program on Grain Legumes, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Patancheru, Andhra Pradesh, India",17.511078,78.275194
85,"Department of Biological Sciences, University of South Carolina, Columbia, South Carolina, United States of America",33.9937575,-81.0299186
86,"McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins School of Medicine, Baltimore, Maryland, United States of America",39.2992589,-76.5935207
87,"McKusick-Nathans Institute of Genetic Medicine, Johns Hopkins School of Medicine, Baltimore, Maryland, United States of America",39.2992589,-76.5935207
88,"Consultorio y laboratorio de NeurogenÈtica, Centro Universitario de NeurologÌa ìJosÈ MarÌa Ramos MejÌaî y DivisiÛn NeurologÌa, Hospital JM Ramos MejÌa, Facultad de Medicina, UBA, Buenos Aires, Argentina",-34.6177597,-58.4102006
89,"Center for Applied Genetic Technologies, University of Georgia, Athens, Georgia, United States of America",33.9316019,-83.3619126
90,"Department of Medical Genetics, Genome-Scale Biology Research Program, University of Helsinki, Helsinki, Finland",60.1726348,24.9510419
91,"Department of Medical Genetics, Genome-Scale Biology Research Program, University of Helsinki, Helsinki, Finland",60.1726348,24.9510419
92,"Department of Pharmacology-Genetics, AP-HP, Saint-Louis Hospital, Paris, France",48.8734065,2.3697699
93,"Division of Integrated Oncology, Institute of Biomedical Research and Innovation, Chuo-ku, Kobe, 650ñ0047, Japan",34.6585419,135.2155001
94,"Functional Genomics Laboratory, Department of Psychiatry & Human Behavior, University of California Irvine, Irvine, California, United States of America",33.6404952,-117.8442962
95,"Department of Pediatrics, Jinshan Hospital of Fudan University, Shanghai, China",30.741991,121.341969
96,"Diagnostic Genetics Unit, Careggi University Hospital, Florence, Italy",43.8072701,11.2476977
97,"Dow AgroSciences LLC, 9330 Zionsville Road, Indianapolis, Indiana, 46268, United States of America",39.921603,-86.2601197
98,"Department of Biological Science, The University of Tulsa, Tulsa, Oklahoma, United States of America",36.1510526,-95.9453882
99,"CNRS-UMR-8199, Univ Lille Nord de France, UDSL, Lille, France",50.6316562,3.0752035
100,"Centre for Biodiversity Genomics, Biodiversity Institute of Ontario, University of Guelph, Guelph, Ontario, Canada",43.5281572,-80.2290094
101,"Department of Molecular Biology and Genetics, Cornell University, Ithaca, New York, United States of America",42.4464096,-76.4782923
102,"Department of Molecular Biology and Genetics, Cornell University, Ithaca, New York, United States of America",42.4464096,-76.4782923
103,"Institute of Infection & Global Health, University of Liverpool, Liverpool, United Kingdom",53.408086,-2.9639854
104,"Menzies Health Institute Queensland, Griffith University, Brisbane, Australia",-27.5436908,153.066485
105,"Bioscientia Center for Human Genetics, Ingelheim, Germany",49.981947,8.050877
106,"Department of Genetics, Jiangxi Provincial Women and Children Hospital, Nanchang, 330006, China",28.6951682,115.9003117
107,"Institute of Pathology, Hannover Medical School, Hannover, Germany",52.3835765,9.8049919
108,"Institute of Dermatology and Department of Dermatology at No.1 Hospital, Anhui Medical University, Hefei, Anhui, China",31.820591,117.227219
109,"Research Group Reproduction and Genetics (REGE), Vrije Universiteit Brussel (VUB), Brussels, Belgium",50.821658,4.394886
110,"Interdepartment of Biomedical Sciences, Faculty of Graduate School, Chulalongkorn University, Bangkok, Thailand",13.7427101,100.5281314
111,"Division of Intractable Diseases, Center for Biomedical Sciences, National Institute of Health, Chungcheongbuk-do, South Korea",36.6391538,127.327156
112,"Department of Neurosurgery, Division of Clinical Neuroscience, Faculty of Medicine, University of Miyazaki, Miyazaki, Japan",31.8292068,131.4132865
113,"Department of Internal Medicine (Renal division), Washington University School of Medicine, St. Louis, Missouri, United States of America",38.6351441,-90.2629289
114,"Lineberger Comprehensive Cancer Center, the University of North Carolina at Chapel Hill, Chapel Hill, NC, 27599, United States of America",35.9030288,-79.0535867
115,"Institute of Systematic Botany & Z¸rich-Basel Plant Science Centre, University of Zurich, Z¸rich, Switzerland",47.3774386,8.5487444
116,"Department of Otorhinolaryngology-Head and Neck Surgery, National Medical Center, Seoul, Korea",37.5665889,127.005547
117,"Laboratory of Cancer Biology and Genetics, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, United States of America",38.9996533,-77.1075826
118,"Centre for Respiratory Diseases and Meningitis, National Institute for Communicable Diseases of the National Health Laboratory Service, Johannesburg, South Africa",-26.2041028,28.0473051
119,"National Microbiology Laboratory, Public Health Agency of Canada, Winnipeg, Manitoba, Canada",49.9081626,-97.1635929
120,"Prenatal Diagnosis Center, Maternal and Child Health Care Hospital, Lianyungang, Jiangsu, China",34.596653,119.221611
121,"Center for Human Genetics, KU Leuven, Leuven, Belgium",50.8779545,4.7002953
122,"NeuroCure Clinical Research Center (NCRC), CharitÈ ñ Universit‰tsmedizin Berlin, Berlin, Germany",52.5256291,13.3776611
123,"Central Administration 4 (IT), Robert Koch Institute, Berlin, Germany",52.5434,13.33977
