doi,journal,publisher,author1,affiliation,title,abstract,topic,Year
10.1371/journal.pone.0028932,PLoS ONE,Public Library of Science,"Zhao, Jinkou","The Global Fund to Fight AIDS, Tuberculosis and Malaria, Vernier, Geneva, Switzerland","Indicators Measuring the Performance of Malaria Programs Supported by the Global Fund in Asia, Progress and the Way Forward","IntroductionIn 2010, the Global Fund provided more than 75% of external international financing for malaria control. The Global Fund uses performance based funding in the grants it finances. This paper analyses the indicators used to measure the performance of Global Fund supported malaria grants in Asia.MethodsIndicators used in the performance frameworks for all Global Fund supported malaria grants in Asia were retrieved from grant database and grouped into impact, outcome, output and input categories and categorized by service delivery areas. Indicators of each group were compared over rounds. Indicators used in performance frameworks were compared with internationally adopted indicators included in the Monitoring and Evaluation Toolkit developed by the Global Fund and international technical agencies.ResultsBetween 2002 and 2010, 1,434 indicators were included in the performance frameworks of the 48 malaria grants awarded in Asia, including 229 impact and 227 outcome indicators, 437 output and 541 input indicators, with an average of 29.9 indicators per grant. The proportion of impact and outcome indicators increased over rounds, with that of input indicators declining from 44.1% in Round 1 to 22.7% in Round 9.ConclusionsInput indicators, which have predominated the performance frameworks of the Global Fund supported malaria programs in Asia have declined between Rounds 1 and 9. However, increased alignment with internationally adopted indicators included in the Monitoring and Evaluation Toolkit is needed to improve the validity of reported results.",global alignment,2011
10.1371/journal.pone.0210177,PLOS ONE,Public Library of Science,"Joung, InSuk","Center for In Silico Protein Science, Korea Institute for Advanced Study, Seoul, Korea",Non-sequential protein structure alignment by conformational space annealing and local refinement,"Protein structure alignment is an important tool for studying evolutionary biology and protein modeling. A tool which intensively searches for the globally optimal non-sequential alignments is rarely found. We propose ALIGN-CSA which shows improvement in scores, such as DALI-score, SP-score, SO-score and TM-score over the benchmark set including 286 cases. We performed benchmarking of existing popular alignment scoring functions, where the dependence of the search algorithm was effectively eliminated by using ALIGN-CSA. For the benchmarking, we set the minimum block size to 4 to prevent much fragmented alignments where the biological relevance of small alignment blocks is hard to interpret. With this condition, globally optimal alignments were searched by ALIGN-CSA using the four scoring functions listed above, and TM-score is found to be the most effective in generating alignments with longer match lengths and smaller RMSD values. However, DALI-score is the most effective in generating alignments similar to the manually curated reference alignments, which implies that DALI-score is more biologically relevant score. Due to the high demand on computational resources of ALIGN-CSA, we also propose a relatively fast local refinement method, which can control the minimum block size and whether to allow the reverse alignment. ALIGN-CSA can be used to obtain much improved alignment at the cost of relatively more extensive computation. For faster alignment, we propose a refinement protocol that improves the score of a given alignment obtained by various external tools. All programs are available from http://lee.kias.re.kr.",global alignment,2018
10.1371/journal.pone.0054529,PLoS ONE,Public Library of Science,"Suwannasai, Nuttika","Department of Biology, Faculty of Science, Srinakharinwirot University, Bangkok, Thailand",Fungi in Thailand: A Case Study of the Efficacy of an ITS Barcode for Automatically Identifying Species within the Annulohypoxylon and Hypoxylon Genera,"Thailand, a part of the Indo-Burma biodiversity hotspot, has many endemic animals and plants. Some of its fungal species are difficult to recognize and separate, complicating assessments of biodiversity. We assessed species diversity within the fungal genera Annulohypoxylon and Hypoxylon, which produce biologically active and potentially therapeutic compounds, by applying classical taxonomic methods to 552 teleomorphs collected from across Thailand. Using probability of correct identification (PCI), we also assessed the efficacy of automated species identification with a fungal barcode marker, ITS, in the model system of Annulohypoxylon and Hypoxylon. The 552 teleomorphs yielded 137 ITS sequences; in addition, we examined 128 GenBank ITS sequences, to assess biases in evaluating a DNA barcode with GenBank data. The use of multiple sequence alignment in a barcode database like BOLD raises some concerns about non-protein barcode markers like ITS, so we also compared species identification using different alignment methods. Our results suggest the following. (1) Multiple sequence alignment of ITS sequences is competitive with pairwise alignment when identifying species, so BOLD should be able to preserve its present bioinformatics workflow for species identification for ITS, and possibly therefore with at least some other non-protein barcode markers. (2) Automated species identification is insensitive to a specific choice of evolutionary distance, contributing to resolution of a current debate in DNA barcoding. (3) Statistical methods are available to address, at least partially, the possibility of expert misidentification of species. Phylogenetic trees discovered a cryptic species and strongly supported monophyletic clades for many Annulohypoxylon and Hypoxylon species, suggesting that ITS can contribute usefully to a barcode for these fungi. The PCIs here, derived solely from ITS, suggest that a fungal barcode will require secondary markers in Annulohypoxylon and Hypoxylon, however. The URL http://tinyurl.com/spouge-barcode contains computer programs and other supplementary material relevant to this article.",global alignment,2012
10.1371/journal.pcbi.0030193,PLoS Computational Biology,Public Library of Science,"Havgaard, Jakob H","Division of Genetics and Bioinformatics, University of Copenhagen, Frederiksberg, Denmark",Fast Pairwise Structural RNA Alignments by Pruning of the Dynamical Programming Matrix,"It has become clear that noncoding RNAs (ncRNA) play important roles in cells, and emerging studies indicate that there might be a large number of unknown ncRNAs in mammalian genomes. There exist computational methods that can be used to search for ncRNAs by comparing sequences from different genomes. One main problem with these methods is their computational complexity, and heuristics are therefore employed. Two heuristics are currently very popular: pre-folding and pre-aligning. However, these heuristics are not ideal, as pre-aligning is dependent on sequence similarity that may not be present and pre-folding ignores the comparative information. Here, pruning of the dynamical programming matrix is presented as an alternative novel heuristic constraint. All subalignments that do not exceed a length-dependent minimum score are discarded as the matrix is filled out, thus giving the advantage of providing the constraints dynamically. This has been included in a new implementation of the FOLDALIGN algorithm for pairwise local or global structural alignment of RNA sequences. It is shown that time and memory requirements are dramatically lowered while overall performance is maintained. Furthermore, a new divide and conquer method is introduced to limit the memory requirement during global alignment and backtrack of local alignment. All branch points in the computed RNA structure are found and used to divide the structure into smaller unbranched segments. Each segment is then realigned and backtracked in a normal fashion. Finally, the FOLDALIGN algorithm has also been updated with a better memory implementation and an improved energy model. With these improvements in the algorithm, the FOLDALIGN software package provides the molecular biologist with an efficient and user-friendly tool for searching for new ncRNAs. The software package is available for download at http://foldalign.ku.dk.",global alignment,2007
10.1371/journal.pcbi.0030193,PLoS Computational Biology,Public Library of Science,"Havgaard, Jakob H","Division of Genetics and Bioinformatics, University of Copenhagen, Frederiksberg, Denmark",Fast Pairwise Structural RNA Alignments by Pruning of the Dynamical Programming Matrix,"Author SummaryFOLDALIGN is an algorithm for making pairwise structural alignments of RNA sequences. It uses a lightweight energy model and sequence similarity to simultaneously fold and align the sequences. The algorithm can make local and global alignments. The power of structural alignment methods is that they can align sequences where the primary sequences have diverged too much for normal alignment methods to be useful. The structures predicted by structural alignment methods are usually better than the structures predicted by single-sequence folding methods since they can take comparative information into account. The main problem for most structural alignment methods is that they are too computationally expensive. In this paper we introduce the dynamical pruning heuristic that makes the FOLDALIGN method significantly faster without lowering the predictive performance. The memory requirements are also significantly lowered, allowing for the analysis of longer sequences. A user-friendly (still command-line based, though) implementation of the algorithm is available at the Web site: http://foldalign.ku.dk",global alignment,2007
10.1371/journal.pcbi.1003829,PLoS Computational Biology,Public Library of Science,"Brylinski, Michal","Department of Biological Sciences, Louisiana State University, Baton Rouge, Louisiana, United States of America",eMatchSite: Sequence Order-Independent Structure Alignments of Ligand Binding Pockets in Protein Models,"Detecting similarities between ligand binding sites in the absence of global homology between target proteins has been recognized as one of the critical components of modern drug discovery. Local binding site alignments can be constructed using sequence order-independent techniques, however, to achieve a high accuracy, many current algorithms for binding site comparison require high-quality experimental protein structures, preferably in the bound conformational state. This, in turn, complicates proteome scale applications, where only various quality structure models are available for the majority of gene products. To improve the state-of-the-art, we developed eMatchSite, a new method for constructing sequence order-independent alignments of ligand binding sites in protein models. Large-scale benchmarking calculations using adenine-binding pockets in crystal structures demonstrate that eMatchSite generates accurate alignments for almost three times more protein pairs than SOIPPA. More importantly, eMatchSite offers a high tolerance to structural distortions in ligand binding regions in protein models. For example, the percentage of correctly aligned pairs of adenine-binding sites in weakly homologous protein models is only 4–9% lower than those aligned using crystal structures. This represents a significant improvement over other algorithms, e.g. the performance of eMatchSite in recognizing similar binding sites is 6% and 13% higher than that of SiteEngine using high- and moderate-quality protein models, respectively. Constructing biologically correct alignments using predicted ligand binding sites in protein models opens up the possibility to investigate drug-protein interaction networks for complete proteomes with prospective systems-level applications in polypharmacology and rational drug repositioning. eMatchSite is freely available to the academic community as a web-server and a stand-alone software distribution at http://www.brylinski.org/ematchsite.",global alignment,2014
10.1371/journal.pone.0144807,PLOS ONE,Public Library of Science,"Santos, Emanuel","Departamento de Informática, Faculdade de Ciências, Universidade de Lisboa, Portugal",Ontology Alignment Repair through Modularization and Confidence-Based Heuristics,"Ontology Matching aims at identifying a set of semantic correspondences, called an alignment, between related ontologies. In recent years, there has been a growing interest in efficient and effective matching methods for large ontologies. However, alignments produced for large ontologies are often logically incoherent. It was only recently that the use of repair techniques to improve the coherence of ontology alignments began to be explored. This paper presents a novel modularization technique for ontology alignment repair which extracts fragments of the input ontologies that only contain the necessary classes and relations to resolve all detectable incoherences. The paper presents also an alignment repair algorithm that uses a global repair strategy to minimize both the degree of incoherence and the number of mappings removed from the alignment, while overcoming the scalability problem by employing the proposed modularization technique. Our evaluation shows that our modularization technique produces significantly small fragments of the ontologies and that our repair algorithm produces more complete alignments than other current alignment repair systems, while obtaining an equivalent degree of incoherence. Additionally, we also present a variant of our repair algorithm that makes use of the confidence values of the mappings to improve alignment repair. Our repair algorithm was implemented as part of AgreementMakerLight, a free and open-source ontology matching system.",global alignment,2015
10.1371/journal.pone.0193102,PLOS ONE,Public Library of Science,"Brauneder, Kerstin M.","UN Environment World Conservation Monitoring Centre (UNEP-WCMC), Cambridge, United Kingdom",Global screening for Critical Habitat in the terrestrial realm,"Critical Habitat has become an increasingly important concept used by the finance sector and businesses to identify areas of high biodiversity value. The International Finance Corporation (IFC) defines Critical Habitat in their highly influential Performance Standard 6 (PS6), requiring projects in Critical Habitat to achieve a net gain of biodiversity. Here we present a global screening layer of Critical Habitat in the terrestrial realm, derived from global spatial datasets covering the distributions of 12 biodiversity features aligned with guidance provided by the IFC. Each biodiversity feature is categorised as ‘likely’ or ‘potential’ Critical Habitat based on: 1. Alignment between the biodiversity feature and the IFC Critical Habitat definition; and 2. Suitability of the spatial resolution for indicating a feature’s presence on the ground. Following the initial screening process, Critical Habitat must then be assessed in-situ by a qualified assessor. This analysis indicates that a total of 10% and 5% of the global terrestrial environment can be considered as likely and potential Critical Habitat, respectively, while the remaining 85% did not overlap with any of the biodiversity features assessed and was classified as ‘unknown’. Likely Critical Habitat was determined principally by the occurrence of Key Biodiversity Areas and Protected Areas. Potential Critical Habitat was predominantly characterised by data representing highly threatened and unique ecosystems such as ever-wet tropical forests and tropical dry forests. The areas we identified as likely or potential Critical Habitat are based on the best available global-scale data for the terrestrial realm that is aligned with IFC’s Critical Habitat definition. Our results can help businesses screen potential development sites at the early project stage based on a range of biodiversity features. However, the study also demonstrates several important data gaps and highlights the need to incorporate new and improved global spatial datasets as they become available.",global alignment,2018
10.1371/journal.pone.0209712,PLOS ONE,Public Library of Science,"Merlevede, Adriaan","Computational Biology and Biological Physics, Department of Astronomy and Theoretical Physics, Lund University, Lund, Sweden",Homology and linkage in crossover for linear genomes of variable length,"The use of variable-length genomes in evolutionary computation has applications in optimisation when the size of the search space is unknown, and provides a unique environment to study the evolutionary dynamics of genome structure. Here, we revisit crossover for linear genomes of variable length, identifying two crucial attributes of successful recombination algorithms: the ability to retain homologous structure, and to reshuffle variant information. We introduce direct measures of these properties—homology score and linkage score—and use them to review existing crossover algorithms, as well as two novel ones. In addition, we measure the performance of these crossover methods on three different benchmark problems, and find that variable-length genomes out-perform fixed-length variants in all three cases. Our homology and linkage scores successfully explain the difference in performance between different crossover methods, providing a simple and insightful framework for crossover in a variable-length setting.",global alignment,2018
10.1371/journal.pone.0008070,PLoS ONE,Public Library of Science,"Qian, Xiaoning","Department of Computer Science and Engineering, University of South Florida, Tampa, Florida, United States of America",Effective Identification of Conserved Pathways in Biological Networks Using Hidden Markov Models,"BackgroundThe advent of various high-throughput experimental techniques for measuring molecular interactions has enabled the systematic study of biological interactions on a global scale. Since biological processes are carried out by elaborate collaborations of numerous molecules that give rise to a complex network of molecular interactions, comparative analysis of these biological networks can bring important insights into the functional organization and regulatory mechanisms of biological systems.Methodology/Principal FindingsIn this paper, we present an effective framework for identifying common interaction patterns in the biological networks of different organisms based on hidden Markov models (HMMs). Given two or more networks, our method efficiently finds the top  matching paths in the respective networks, where the matching paths may contain a flexible number of consecutive insertions and deletions.Conclusions/SignificanceBased on several protein-protein interaction (PPI) networks obtained from the Database of Interacting Proteins (DIP) and other public databases, we demonstrate that our method is able to detect biologically significant pathways that are conserved across different organisms. Our algorithm has a polynomial complexity that grows linearly with the size of the aligned paths. This enables the search for very long paths with more than 10 nodes within a few minutes on a desktop computer. The software program that implements this algorithm is available upon request from the authors.",global alignment,2009
