"","doi","journal","journal_meta.issn.1","publisher","author1","affiliation","title","abstract","topic","Year"
"1","10.1371/journal.pgen.1007819","PLOS Genetics","1553-7404","Public Library of Science","Jupe, Florian","Genomic Analysis Laboratory, Salk Institute for Biological Studies, La Jolla, CA, United States of America","The complex architecture and epigenomic impact of plant T-DNA insertions","The bacterium Agrobacterium tumefaciens has been the workhorse in plant genome engineering. Customized replacement of native tumor-inducing (Ti) plasmid elements enabled insertion of a sequence of interest called Transfer-DNA (T-DNA) into any plant genome. Although these transfer mechanisms are well understood, detailed understanding of structure and epigenomic status of insertion events was limited by current technologies. Here we applied two single-molecule technologies and analyzed Arabidopsis thaliana lines from three widely used T-DNA insertion collections (SALK, SAIL and WISC). Optical maps for four randomly selected T-DNA lines revealed between one and seven insertions/rearrangements, and the length of individual insertions from 27 to 236 kilobases. De novo nanopore sequencing-based assemblies for two segregating lines partially resolved T-DNA structures and revealed multiple translocations and exchange of chromosome arm ends. For the current TAIR10 reference genome, nanopore contigs corrected 83% of non-centromeric misassemblies. The unprecedented contiguous nucleotide-level resolution enabled an in-depth study of the epigenome at T-DNA insertion sites. SALK_059379 line T-DNA insertions were enriched for 24nt small interfering RNAs (siRNA) and dense cytosine DNA methylation, resulting in transgene silencing via the RNA-directed DNA methylation pathway. In contrast, SAIL_232 line T-DNA insertions are predominantly targeted by 21/22nt siRNAs, with DNA methylation and silencing limited to a reporter, but not the resistance gene. Additionally, we profiled the H3K4me3, H3K27me3 and H2A.Z chromatin environments around T-DNA insertions using ChIP-seq in SALK_059379, SAIL_232 and five additional T-DNA lines. We discovered various effect s ranging from complete loss of chromatin marks to the de novo incorporation of H2A.Z and trimethylation of H3K4 and H3K27 around the T-DNA integration sites. This study provides new insights into the structural impact of inserting foreign fragments into plant genomes and demonstrates the utility of state-of-the-art long-range sequencing technologies to rapidly identify unanticipated genomic changes.","ont reads sequencing",2018
"2","10.1371/journal.pgen.1007819","PLOS Genetics","1553-7404","Public Library of Science","Jupe, Florian","Genomic Analysis Laboratory, Salk Institute for Biological Studies, La Jolla, CA, United States of America","The complex architecture and epigenomic impact of plant T-DNA insertions","Author summaryOur routine ability to add or alter genes in plant genomes using transgenesis has proven to be a game changer to plant sciences. Transgenics not only enables the study of gene function but also allows the development of modern crop plants without the unwanted genetic baggage coming from natural crossing. A major tool to create transgenics is the Agrobacterium system which naturally shuttles and integrates pieces of foreign DNA into its host genome. While the position and number of integrations was relatively easy to track, molecular tools never allowed to see the integrated piece of DNA within a single “picture”. Here we have utilized state-of-the-art DNA sequencing technology to capture the size and structure of multiple DNA insertion events in a plant genome. We discovered that insertion of the anticipated DNA fragment occurred as multiple concatenated full and partial fragments that led in some cases to intra- and interchromosomal rearrangements. Our analysis of the epigenetic landscapes showed variable effects from silencing of the integrated foreign DNA to alterations of chromatin marks and thus chromatin structure and functionality.","ont reads sequencing",2018
"3","10.1371/journal.pcbi.1005595","PLOS Computational Biology","1553-7358","Public Library of Science","Wick, Ryan R.","Department of Biochemistry and Molecular Biology, Bio21 Molecular Science and Biotechnology Institute, The University of Melbourne, Victoria, Australia","Unicycler: Resolving bacterial genome assemblies from short and long sequencing reads","The Illumina DNA sequencing platform generates accurate but short reads, which can be used to produce accurate but fragmented genome assemblies. Pacific Biosciences and Oxford Nanopore Technologies DNA sequencing platforms generate long reads that can produce complete genome assemblies, but the sequencing is more expensive and error-prone. There is significant interest in combining data from these complementary sequencing technologies to generate more accurate “hybrid” assemblies. However, few tools exist that truly leverage the benefits of both types of data, namely the accuracy of short reads and the structural resolving power of long reads. Here we present Unicycler, a new tool for assembling bacterial genomes from a combination of short and long reads, which produces assemblies that are accurate, complete and cost-effective. Unicycler builds an initial assembly graph from short reads using the de novo assembler SPAdes and then simplifies the graph using information from short and long reads. Unicycler uses a novel semi-global aligner to align long reads to the assembly graph. Tests on both synthetic and real reads show Unicycler can assemble larger contigs with fewer misassemblies than other hybrid assemblers, even when long-read depth and accuracy are low. Unicycler is open source (GPLv3) and available at github.com/rrwick/Unicycler.","ont reads sequencing",2017
"4","10.1371/journal.pone.0190853","PLOS ONE",NA,"Public Library of Science","Gong, Liang","Genome Technologies, The Jackson Laboratory for Genomic Medicine, Farmington, Connecticut, United States of America","Culture-independent analysis of liver abscess using nanopore sequencing","The identification of microbial species has depended predominantly upon culture-based techniques. However, the difficulty with which types of organisms are cultured implies that the grown species may be overrepresented by both cultivation and plate counts. In recent years, culture-independent analysis using high-throughput sequencing has been advocated for use as a point-of-care diagnostic tool. Although it offers a rapid and unbiased survey to characterize the pathogens in clinical specimens, its accuracy is reduced by the high level of contamination of human DNA. In this paper, we propose using a culture-independent analysis for a Klebsiella pneumoniae clinical strain within a liver abscess using nanopore sequencing. Owing to the highly-contaminated cell population within a liver abscess, we managed to reduce the confounding effects of human DNA through the use of DNase and differential centrifugation. Genomic DNA was sequenced through the use of Nanopore MinION sequencer and analyzed using a suite of bioinformatics approaches. K. pneumoniae was successfully identified along with antibiotic-resistant genes. Our results indicate that, by integrating real-time nanopore sequencing and bioinformatics software, real-time pathogen identification in a liver abscess can be achieved.","ont reads sequencing",2017
"5","10.1371/journal.pcbi.1006583","PLOS Computational Biology","1553-7358","Public Library of Science","Wick, Ryan R.","Department of Biochemistry and Molecular Biology, Bio21 Molecular Science and Biotechnology Institute, University of Melbourne, Parkville, Victoria, Australia","Deepbinner: Demultiplexing barcoded Oxford Nanopore reads with deep convolutional neural networks","Multiplexing, the simultaneous sequencing of multiple barcoded DNA samples on a single flow cell, has made Oxford Nanopore sequencing cost-effective for small genomes. However, it depends on the ability to sort the resulting sequencing reads by barcode, and current demultiplexing tools fail to classify many reads. Here we present Deepbinner, a tool for Oxford Nanopore demultiplexing that uses a deep neural network to classify reads based on the raw electrical read signal. This ‘signal-space’ approach allows for greater accuracy than existing ‘base-space’ tools (Albacore and Porechop) for which signals must first be converted to DNA base calls, itself a complex problem that can introduce noise into the barcode sequence. To assess Deepbinner and existing tools, we performed multiplex sequencing on 12 amplicons chosen for their distinguishability. This allowed us to establish a ground truth classification for each read based on internal sequence alone. Deepbinner had the lowest rate of unclassified reads (7.8%) and the highest demultiplexing precision (98.5% of classified reads were correctly assigned). It can be used alone (to maximise the number of classified reads) or in conjunction with other demultiplexers (to maximise precision and minimise false positive classifications). We also found cross-sample chimeric reads (0.3%) and evidence of barcode switching (0.3%) in our dataset, which likely arise during library preparation and may be detrimental for quantitative studies that use multiplexing. Deepbinner is open source (GPLv3) and available at https://github.com/rrwick/Deepbinner.","ont reads sequencing",2018
"6","10.1371/journal.pone.0216471","PLOS ONE",NA,"Public Library of Science","Bolognini, Davide","Department of Experimental and Clinical Medicine, University of Florence, Largo Brambilla 3, Florence, Italy","NanoR: A user-friendly R package to analyze and compare nanopore sequencing data","MinION and GridION X5 from Oxford Nanopore Technologies are devices for real-time DNA and RNA sequencing. On the one hand, MinION is the only real-time, low cost and portable sequencing device and, thanks to its unique properties, is becoming more and more popular among biologists; on the other, GridION X5, mainly for its costs, is less widespread but highly suitable for researchers with large sequencing projects. Despite the fact that Oxford Nanopore Technologies’ devices have been increasingly used in the last few years, there is a lack of high-performing and user-friendly tools to handle the data outputted by both MinION and GridION X5 platforms. Here we present NanoR, a cross-platform R package designed with the purpose to simplify and improve nanopore data visualization. Indeed, NanoR is built on few functions but overcomes the capabilities of existing tools to extract meaningful informations from MinION sequencing data; in addition, as exclusive features, NanoR can deal with GridION X5 sequencing outputs and allows comparison of both MinION and GridION X5 sequencing data in one command. NanoR is released as free package for R at https://github.com/davidebolo1993/NanoR.","ont reads sequencing",2019
"7","10.1371/journal.pone.0189993","PLOS ONE",NA,"Public Library of Science","Passera, Alessandro","Department of Agricultural and Environmental Sciences - Production, Landscape, Agroenergy, Università degli Studi di Milano, Milan, Italy","Hybrid genome assembly and annotation of Paenibacillus pasadenensis strain R16 reveals insights on endophytic life style and antifungal activity","Bacteria of the Paenibacillus genus are becoming important in many fields of science, including agriculture, for their positive effects on the health of plants. However, there are little information available on this genus compared to other bacteria (such as Bacillus or Pseudomonas), especially when considering genomic information. Sequencing the genomes of plant-beneficial bacteria is a crucial step to identify the genetic elements underlying the adaptation to life inside a plant host and, in particular, which of these features determine the differences between a helpful microorganism and a pathogenic one. In this study, we have characterized the genome of Paenibacillus pasadenensis, strain R16, recently investigated for its antifungal activities and plant-associated features. An hybrid assembly approach was used integrating the very precise reads obtained by Illumina technology and long fragments acquired with Oxford Nanopore Technology (ONT) sequencing. De novo genome assembly based solely on Illumina reads generated a relatively fragmented assembly of 5.72 Mbp in 99 ungapped sequences with an N50 length of 544 Kbp; hybrid assembly, integrating Illumina and ONT reads, improved the assembly quality, generating a genome of 5.75 Mbp, organized in 6 contigs with an N50 length of 3.4 Mbp. Annotation of the latter genome identified 4987 coding sequences, of which 1610 are hypothetical proteins. Enrichment analysis identified pathways of particular interest for the endophyte biology, including the chitin-utilization pathway and the incomplete siderophore pathway which hints at siderophore parasitism. In addition the analysis led to the identification of genes for the production of terpenes, as for example farnesol, that was hypothesized as the main antifungal molecule produced by the strain. The functional analysis on the genome confirmed several plant-associated, plant-growth promotion, and biocontrol traits of strain R16, thus adding insights in the genetic bases of these complex features, and of the Paenibacillus genus in general.","ont reads sequencing",2017
"8","10.1371/journal.pone.0184741","PLOS ONE",NA,"Public Library of Science","Menegon, Michele","Tropical Biodiversity section, Science Museum of Trento, Trento, Italy","On site DNA barcoding by nanopore sequencing","Biodiversity research is becoming increasingly dependent on genomics, which allows the unprecedented digitization and understanding of the planet’s biological heritage. The use of genetic markers i.e. DNA barcoding, has proved to be a powerful tool in species identification. However, full exploitation of this approach is hampered by the high sequencing costs and the absence of equipped facilities in biodiversity-rich countries. In the present work, we developed a portable sequencing laboratory based on the portable DNA sequencer from Oxford Nanopore Technologies, the MinION. Complementary laboratory equipment and reagents were selected to be used in remote and tough environmental conditions. The performance of the MinION sequencer and the portable laboratory was tested for DNA barcoding in a mimicking tropical environment, as well as in a remote rainforest of Tanzania lacking electricity. Despite the relatively high sequencing error-rate of the MinION, the development of a suitable pipeline for data analysis allowed the accurate identification of different species of vertebrates including amphibians, reptiles and mammals. In situ sequencing of a wild frog allowed us to rapidly identify the species captured, thus confirming that effective DNA barcoding in the field is possible. These results open new perspectives for real-time-on-site DNA sequencing thus potentially increasing opportunities for the understanding of biodiversity in areas lacking conventional laboratory facilities.","ont reads sequencing",2017
"9","10.1371/journal.pone.0216709","PLOS ONE",NA,"Public Library of Science","Smith, Andrew M.","UC Santa Cruz Genomics Institute, University of California, Santa Cruz, California, United States of America","Reading canonical and modified nucleobases in 16S ribosomal RNA using nanopore native RNA sequencing","The ribosome small subunit is expressed in all living cells. It performs numerous essential functions during translation, including formation of the initiation complex and proofreading of base-pairs between mRNA codons and tRNA anticodons. The core constituent of the small ribosomal subunit is a ~1.5 kb RNA strand in prokaryotes (16S rRNA) and a homologous ~1.8 kb RNA strand in eukaryotes (18S rRNA). Traditional sequencing-by-synthesis (SBS) of rRNA genes or rRNA cDNA copies has achieved wide use as a ‘molecular chronometer’ for phylogenetic studies, and as a tool for identifying infectious organisms in the clinic. However, epigenetic modifications on rRNA are erased by SBS methods. Here we describe direct MinION nanopore sequencing of individual, full-length 16S rRNA absent reverse transcription or amplification. As little as 5 picograms (~10 attomole) of purified E. coli 16S rRNA was detected in 4.5 micrograms of total human RNA. Nanopore ionic current traces that deviated from canonical patterns revealed conserved E. coli 16S rRNA 7-methylguanosine and pseudouridine modifications, and a 7-methylguanosine modification that confers aminoglycoside resistance to some pathological E. coli strains.","ont reads sequencing",2019
"10","10.1371/journal.pone.0034810","PLoS ONE",NA,"Public Library of Science","Munemasa, Yasunari","Jules Stein Eye Institute, University of California Los Angeles, Los Angeles, California, United States of America","The Neuronal EGF-Related Gene Nell2 Interacts with Macf1 and Supports Survival of Retinal Ganglion Cells after Optic Nerve Injury","Nell2 is a neuron-specific protein containing six epidermal growth factor-like domains. We have identified Nell2 as a retinal ganglion cell (RGC)-expressed gene by comparing mRNA profiles of control and RGC-deficient rat retinas. The aim of this study was to analyze Nell2 expression in wild-type and optic nerve axotomized retinas and evaluate its potential role in RGCs. Nell2-positive in situ and immunohistochemical signals were localized to irregularly shaped cells in the ganglion cell layer (GCL) and colocalized with retrogradely-labeled RGCs. No Nell2-positive cells were detected in 2 weeks optic nerve transected (ONT) retinas characterized with approximately 90% RGC loss. RT-PCR analysis showed a dramatic decrease in the Nell2 mRNA level after ONT compared to the controls. Immunoblot analysis of the Nell2 expression in the retina revealed the presence of two proteins with approximate MW of 140 and 90 kDa representing glycosylated and non-glycosylated Nell2, respectively. Both products were almost undetectable in retinal protein extracts two weeks after ONT. Proteome analysis of Nell2-interacting proteins carried out with MALDI-TOF MS (MS) identified microtubule-actin crosslinking factor 1 (Macf1), known to be critical in CNS development. Strong Macf1 expression was observed in the inner plexiform layer and GCL where it was colocalizied with Thy-1 staining. Since Nell2 has been reported to increase neuronal survival of the hippocampus and cerebral cortex, we evaluated the effect of Nell2 overexpression on RGC survival. RGCs in the nasal retina were consistently more efficiently transfected than in other areas (49% vs. 13%; n = 5, p<0.05). In non-transfected or pEGFP-transfected ONT retinas, the loss of RGCs was approximately 90% compared to the untreated control. In the nasal region, Nell2 transfection led to the preservation of approximately 58% more cells damaged by axotomy compared to non-transfected (n = 5, p<0.01) or pEGFP-transfected controls (n = 5, p<0.01).","ont reads sequencing",2012
