"","doi","journal","publisher","author1","affiliation","title","abstract","topic","Year"
"1","10.1371/journal.pone.0216709","PLOS ONE","Public Library of Science","Smith, Andrew M.","UC Santa Cruz Genomics Institute, University of California, Santa Cruz, California, United States of America","Reading canonical and modified nucleobases in 16S ribosomal RNA using nanopore native RNA sequencing","The ribosome small subunit is expressed in all living cells. It performs numerous essential functions during translation, including formation of the initiation complex and proofreading of base-pairs between mRNA codons and tRNA anticodons. The core constituent of the small ribosomal subunit is a ~1.5 kb RNA strand in prokaryotes (16S rRNA) and a homologous ~1.8 kb RNA strand in eukaryotes (18S rRNA). Traditional sequencing-by-synthesis (SBS) of rRNA genes or rRNA cDNA copies has achieved wide use as a ‘molecular chronometer’ for phylogenetic studies, and as a tool for identifying infectious organisms in the clinic. However, epigenetic modifications on rRNA are erased by SBS methods. Here we describe direct MinION nanopore sequencing of individual, full-length 16S rRNA absent reverse transcription or amplification. As little as 5 picograms (~10 attomole) of purified E. coli 16S rRNA was detected in 4.5 micrograms of total human RNA. Nanopore ionic current traces that deviated from canonical patterns revealed conserved E. coli 16S rRNA 7-methylguanosine and pseudouridine modifications, and a 7-methylguanosine modification that confers aminoglycoside resistance to some pathological E. coli strains.","oxford nanopore sequencing",2019
"2","10.1371/journal.pone.0219961","PLOS ONE","Public Library of Science","Sheahan, Taylor","Alberta RNA Research and Training Institute, Department of Chemistry and Biochemistry, University of Lethbridge, Lethbridge, Alberta, Canada","Rapid metagenomics analysis of EMS vehicles for monitoring pathogen load using nanopore DNA sequencing","Pathogen monitoring, detection and removal are essential to public health and outbreak management. Systems are in place for monitoring the microbial load of hospitals and public health facilities with strategies to mitigate pathogen spread. However, no such strategies are in place for ambulances, which are tasked with transporting at-risk individuals in immunocompromised states. As standard culturing techniques require a laboratory setting, and are time consuming and labour intensive, our approach was designed to be portable, inexpensive and easy to use based on the MinION third-generation sequencing platform from Oxford Nanopore Technologies. We developed a transferable sampling-to-analysis pipeline to characterize the microbial community in emergency medical service vehicles. Our approach identified over sixty-eight organisms in ambulances to the genera level, with a proportion of these being connected with health-care associated infections, such as Clostridium spp. and Staphylococcus spp. We also monitored the microbiome of different locations across three ambulances over time, and examined the dynamic community of microorganisms found in emergency medical service vehicles. Observed differences identified hot spots, which may require heightened monitoring and extensive cleaning. Through metagenomics analysis it is also possible to identify how microorganisms spread between patients and colonize an ambulance over time. The sequencing results aid in the development of practices to mitigate disease spread, while also providing a useful tool for outbreak prediction through ongoing analysis of the ambulance microbiome to identify new and emerging pathogens. Overall, this pipeline allows for the tracking and monitoring of pathogenic microorganisms of epidemiological interest, including those related to health-care associated infections.","oxford nanopore sequencing",2019
"3","10.1371/journal.pone.0178751","PLOS ONE","Public Library of Science","Boža, Vladimír","Faculty of Mathematics, Physics and Informatics, Comenius University in Bratislava, Slovakia","DeepNano: Deep recurrent neural networks for base calling in MinION nanopore reads","The MinION device by Oxford Nanopore produces very long reads (reads over 100 kBp were reported); however it suffers from high sequencing error rate. We present an open-source DNA base caller based on deep recurrent neural networks and show that the accuracy of base calling is much dependent on the underlying software and can be improved by considering modern machine learning methods. By employing carefully crafted recurrent neural networks, our tool significantly improves base calling accuracy on data from R7.3 version of the platform compared to the default base caller supplied by the manufacturer. On R9 version, we achieve results comparable to Nanonet base caller provided by Oxford Nanopore. Availability of an open source tool with high base calling accuracy will be useful for development of new applications of the MinION device, including infectious disease detection and custom target enrichment during sequencing.","oxford nanopore sequencing",2017
"4","10.1371/journal.pcbi.1006583","PLOS Computational Biology","Public Library of Science","Wick, Ryan R.","Department of Biochemistry and Molecular Biology, Bio21 Molecular Science and Biotechnology Institute, University of Melbourne, Parkville, Victoria, Australia","Deepbinner: Demultiplexing barcoded Oxford Nanopore reads with deep convolutional neural networks","Multiplexing, the simultaneous sequencing of multiple barcoded DNA samples on a single flow cell, has made Oxford Nanopore sequencing cost-effective for small genomes. However, it depends on the ability to sort the resulting sequencing reads by barcode, and current demultiplexing tools fail to classify many reads. Here we present Deepbinner, a tool for Oxford Nanopore demultiplexing that uses a deep neural network to classify reads based on the raw electrical read signal. This ‘signal-space’ approach allows for greater accuracy than existing ‘base-space’ tools (Albacore and Porechop) for which signals must first be converted to DNA base calls, itself a complex problem that can introduce noise into the barcode sequence. To assess Deepbinner and existing tools, we performed multiplex sequencing on 12 amplicons chosen for their distinguishability. This allowed us to establish a ground truth classification for each read based on internal sequence alone. Deepbinner had the lowest rate of unclassified reads (7.8%) and the highest demultiplexing precision (98.5% of classified reads were correctly assigned). It can be used alone (to maximise the number of classified reads) or in conjunction with other demultiplexers (to maximise precision and minimise false positive classifications). We also found cross-sample chimeric reads (0.3%) and evidence of barcode switching (0.3%) in our dataset, which likely arise during library preparation and may be detrimental for quantitative studies that use multiplexing. Deepbinner is open source (GPLv3) and available at https://github.com/rrwick/Deepbinner.","oxford nanopore sequencing",2018
"5","10.1371/journal.pone.0216471","PLOS ONE","Public Library of Science","Bolognini, Davide","Department of Experimental and Clinical Medicine, University of Florence, Largo Brambilla 3, Florence, Italy","NanoR: A user-friendly R package to analyze and compare nanopore sequencing data","MinION and GridION X5 from Oxford Nanopore Technologies are devices for real-time DNA and RNA sequencing. On the one hand, MinION is the only real-time, low cost and portable sequencing device and, thanks to its unique properties, is becoming more and more popular among biologists; on the other, GridION X5, mainly for its costs, is less widespread but highly suitable for researchers with large sequencing projects. Despite the fact that Oxford Nanopore Technologies’ devices have been increasingly used in the last few years, there is a lack of high-performing and user-friendly tools to handle the data outputted by both MinION and GridION X5 platforms. Here we present NanoR, a cross-platform R package designed with the purpose to simplify and improve nanopore data visualization. Indeed, NanoR is built on few functions but overcomes the capabilities of existing tools to extract meaningful informations from MinION sequencing data; in addition, as exclusive features, NanoR can deal with GridION X5 sequencing outputs and allows comparison of both MinION and GridION X5 sequencing data in one command. NanoR is released as free package for R at https://github.com/davidebolo1993/NanoR.","oxford nanopore sequencing",2019
"6","10.1371/journal.pone.0217600","PLOS ONE","Public Library of Science","Kamathewatta, Kanishka Indiwari","Department of Veterinary Biosciences, Faculty of Veterinary and Agricultural Sciences, The University of Melbourne, Werribee, Victoria, Australia","Exploration of antibiotic resistance risks in a veterinary teaching hospital with Oxford Nanopore long read sequencing","The Oxford Nanopore MinION DNA sequencing device can produce large amounts of long sequences, typically several kilobases, within a few hours. This long read capacity was exploited to detect antimicrobial resistance genes (ARGs) in a large veterinary teaching hospital environment, and to assess their taxonomic origin, genetic organisation and association with mobilisation markers concurrently. Samples were collected on eight occasions between November 2016 and May 2017 (inclusive) in a longitudinal study. Nanopore sequencing was performed on total DNA extracted from the samples after a minimal enrichment step in broth. Many ARGs present in the veterinary hospital environment could potentially confer resistance to antimicrobials widely used in treating infections of companion animals, including aminoglycosides, extended-spectrum beta-lactams, sulphonamides, macrolides, and tetracyclines. High-risk ARGs, defined here as single or multiple ARGs associated with pathogenic bacterial species or with mobile genetic elements, were shared between the intensive care unit (ICU) patient cages, a dedicated laundry trolley and a floor cleaning mop-bucket. By contrast, a floor surface from an office corridor without animal contact and located outside the veterinary hospital did not contain such high-risk ARGs. Relative abundances of high-risk ARGs and co-localisation of these genes on the same sequence read were higher in the laundry trolley and mop bucket samples, compared to the ICU cages, suggesting that amplification of ARGs is likely to occur in the collection points for hospital waste. These findings have prompted the implementation of targeted intervention measures in the veterinary hospital to mitigate the risks of transferring clinically important ARGs between sites and to improve biosecurity practices in the facility.","oxford nanopore sequencing",2019
"7","10.1371/journal.pone.0219495","PLOS ONE","Public Library of Science","Smith, Michael","Department of Electrical and Computer Engineering, University of Calgary, Calgary, Alberta, Canada","Evaluation of simulation models to mimic the distortions introduced into squiggles by nanopore sequencers and segmentation algorithms","Nucleotides ratcheted through the biomolecular pores of nanopore sequencers generate raw picoamperage currents, which are segmented into step-current level signals representing the nucleotide sequence. These ‘squiggles’ are a noisy, distorted representation of the underlying true stepped current levels due to experimental and algorithmic factors. We were interested in developing a simulation model to support a white-box approach to identify common distortions, rather than relying on commonly used black box neural network techniques for basecalling nanopore signals. Dynamic time warped-space averaging (DTWA) techniques can generate a consensus from multiple noisy signals without introducing key feature distortions that occur with standard averaging. As a preprocessing tool, DTWA could provide cleaner and more accurate current signals for direct RNA or DNA analysis tools. However, DTWA approaches need modification to take advantage of the a-priori knowledge regarding a common, underlying gold-standard RNA / DNA sequence. Using experimental data, we derive a simulation model to provide known squiggle distortion signals to assist in validating the performance of analysis tools such as DTWA. Simulation models were evaluated by comparing mocked and experimental squiggle characteristics from one Enolase mRNA squiggle group produced by an Oxford MinION nanopore sequencer, and cross-validated using other Enolase, Sequin R1_71_1 and Sequin R2_55_3 mRNA studies. New techniques identified high inserted but low deleted base rates, generating consistent x1.7 squiggle event to base called ratios. Similar probability density and cumulative distribution functions, PDF and CDF, were found across all studies. Experimental PDFs were not the normal distributions expected if squiggle distortion arose from segmentation algorithm artefacts, or through individual nucleotides randomly interacting with individual nanopores. Matching experimental and mocked CDFs required the assumption that there are unique features associated with individual raw-current data streams. Z-normalized signal-to-noise ratios suggest intrinsic sensor limitations being responsible for half the gold standard and noisy squiggle DTW differences.","oxford nanopore sequencing",2019
"8","10.1371/journal.pone.0220494","PLOS ONE","Public Library of Science","González-Escalona, Narjol","Center for Food Safety and Applied Nutrition, Food and Drug Administration, College Park, MD, United States of America","Nanopore sequencing for fast determination of plasmids, phages, virulence markers, and antimicrobial resistance genes in Shiga toxin-producing Escherichia coli","Whole genome sequencing can provide essential public health information. However, it is now known that widely used short-read methods have the potential to miss some randomly-distributed segments of genomes. This can prevent phages, plasmids, and virulence factors from being detected or properly identified. Here, we compared assemblies of three complete Shiga toxin-producing Escherichia coli (STEC) O26:H11/H- genomes from two different sequence types (ST21 and 29), each acquired using the Nextera XT MiSeq, MinION nanopore-based sequencing, and Pacific Biosciences (PacBio) sequencing. Each closed genome consisted of a single chromosome, approximately 5.7 Mb for CFSAN027343, 5.6 Mb for CFSAN027346, and 5.4 MB for CFSAN027350. However, short-read whole genome sequencing (WGS) using Nextera XT MiSeq failed to identify some virulence genes in plasmids and on the chromosome, both of which were detected using the long-read platforms. Results from long-read MinION and PacBio allowed us to identify differences in plasmid content: a single 88 kb plasmid in CFSAN027343; a 157kb plasmid in CFSAN027350; and two plasmids in CFSAN027346 (one 95 Kb, one 72 Kb). These data enabled rapid characterization of the virulome, detection of antimicrobial genes, and composition/location of Stx phages. Taken together, positive correlations between the two long-read methods for determining plasmids, virulome, antimicrobial resistance genes, and phage composition support MinION sequencing as one accurate and economical option for closing STEC genomes and identifying specific virulence markers.","oxford nanopore sequencing",2019
"9","10.1371/journal.ppat.1006365","PLOS Pathogens","Public Library of Science","Jaworski, Elizabeth","Department of Biochemistry and Molecular Biology, The University of Texas Medical Branch, Galveston, TX, United States of America","Parallel ClickSeq and Nanopore sequencing elucidates the rapid evolution of defective-interfering RNAs in Flock House virus","Defective-Interfering RNAs (DI-RNAs) have long been known to play an important role in virus replication and transmission. DI-RNAs emerge during virus passaging in both cell-culture and their hosts as a result of non-homologous RNA recombination. However, the principles of DI-RNA emergence and their subsequent evolution have remained elusive. Using a combination of long- and short-read Next-Generation Sequencing, we have characterized the formation of DI-RNAs during serial passaging of Flock House virus (FHV) in cell-culture over a period of 30 days in order to elucidate the pathways and potential mechanisms of DI-RNA emergence and evolution. For short-read RNAseq, we employed ‘ClickSeq’ due to its ability to sensitively and confidently detect RNA recombination events with nucleotide resolution. In parallel, we used the Oxford Nanopore Technologies’s (ONT) MinION to resolve full-length defective and wild-type viral genomes. Together, these accurately resolve both rare and common RNA recombination events, determine the correlation between recombination events, and quantifies the relative abundance of different DI-RNAs throughout passaging. We observe the formation of a diverse pool of defective RNAs at each stage of viral passaging. However, many of these ‘intermediate’ species, while present in early stages of passaging, do not accumulate. After approximately 9 days of passaging we observe the rapid accumulation of DI-RNAs with a correlated reduction in specific infectivity and with the Nanopore data find that DI-RNAs are characterized by multiple RNA recombination events. This suggests that intermediate DI-RNA species are not competitive and that multiple recombination events interact epistatically to confer ‘mature’ DI-RNAs with their selective advantage allowing for their rapid accumulation. Alternatively, it is possible that mature DI-RNA species are generated in a single event involving multiple RNA rearrangements. These insights have important consequences for our understanding of the mechanisms, determinants and limitations in the emergence and evolution of DI-RNAs.","oxford nanopore sequencing",2017
"10","10.1371/journal.ppat.1006365","PLOS Pathogens","Public Library of Science","Jaworski, Elizabeth","Department of Biochemistry and Molecular Biology, The University of Texas Medical Branch, Galveston, TX, United States of America","Parallel ClickSeq and Nanopore sequencing elucidates the rapid evolution of defective-interfering RNAs in Flock House virus","Author summaryDefective RNAs are versions of a viral genome that arise naturally during viral infections but have been truncated or rearranged by non-homologous recombination. While not encoding for functional viruses, they can be amplified and co-passaged with the wild-type virus, effectively parasitizing the normal viral machinery. Some defective RNAs can replicate so successfully so as to subdue the replication of the wild-type virus, forming a ‘Defective-Interfering RNA’ (DI-RNA). As a result, DI-RNAs may promote the establishment of chronic viral infections, may prolong the period during which the host is infectious, and may even be exploited as antiviral therapies or vaccines. Therefore, understanding the reasons and mechanisms of how DI-RNAs are formed and subsequently evolve is important. Here, we sought to characterize these processes by passaging Flock House virus (a highly tractable and well-characterized model RNA virus) in cell-culture for approximately one month and sequencing the viral genomes every three days using a combination of ‘ClickSeq’ (to resolve recombination events with nucleotide resolution) and the Oxford Nanopore Technologies MinION (to characterize full-length and defective genomes). This provides a highly detailed characterization of the pathways of DI-RNA emergence and their progression to dominance over the wild-type viral genome.","oxford nanopore sequencing",2017
